pollster,source_url,date_from,date_to,sample_size,ARTAUD,POUTOU,MELENCHON,ROUSSEL,RUFFIN,ROUSSEAU,TONDELIER,JADOT,GLUCKSMANN,HOLLANDE,FAURE,ATTAL,BAYROU,PHILIPPE,DARMANIN,LECORNU,RETAILLEAU,VILLEPIN,DUPONT_AIGNAN,BARDELLA,LE_PEN,KNAFO,ZEMMOUR
Odoxa,https://www.odoxa.fr/sondage/jordan-bardella-est-la-personnalite-politique-preferee-des-francais-et-remporterait-la-presidentielle-si-elle-avait-lieu-dimanche-prochain/,2025-11-19,2025-11-20,1004,,,,,,,,,,,,44,,,,,,,,56.0,,,
Ifop,https://www.lopinion.fr/politique/bardella-le-pen-philippe-melenchon-glucksmann-a-moins-de-deux-ans-de-la-presidentielle-le-sondage-qui-relance-les-ambitions/,2025-04-11,2025-04-30,9128,,,,,,,,,,,,48,,,,,,,,52,,,
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1093,,,,,,,,,,,,49,,,,,,,,51,,,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,,,28.5,,,,,,,,,,,,,,,,,71.5,,,
Odoxa,https://www.odoxa.fr/sondage/jordan-bardella-est-la-personnalite-politique-preferee-des-francais-et-remporterait-la-presidentielle-si-elle-avait-lieu-dimanche-prochain/,2025-11-19,2025-11-20,689,,,26,,,,,,,,,,,,,,,,,74,,,
Ifop,https://www.lopinion.fr/politique/bardella-le-pen-philippe-melenchon-glucksmann-a-moins-de-deux-ans-de-la-presidentielle-le-sondage-qui-relance-les-ambitions/,2025-04-11,2025-04-30,9128,,,33,,,,,,,,,,,,,,,,,67,,,
Odoxa,https://www.odoxa.fr/sondage/spectaculaire-come-back-dedouard-philippe-il-remporterait-aujourdhui-la-presidentielle/,2026-03-25,2026-03-26,1005,,,,,,,,,,,,,,52,,,,,,48,,,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,,,,,,,,,,,,,,51.5,,,,,,48.5,,,
Odoxa,https://www.odoxa.fr/sondage/jordan-bardella-est-la-personnalite-politique-preferee-des-francais-et-remporterait-la-presidentielle-si-elle-avait-lieu-dimanche-prochain/,2025-11-19,2025-11-20,1004,,,,,,,,,,,,,,47,,,,,,53,,,
Ifop,https://www.lopinion.fr/politique/bardella-le-pen-philippe-melenchon-glucksmann-a-moins-de-deux-ans-de-la-presidentielle-le-sondage-qui-relance-les-ambitions/,2025-04-11,2025-04-30,9128,,,,,,,,,,,,,,50,,,,,,50,,,
Odoxa,https://www.odoxa.fr/sondage/presidentielle-le-pen-ou-bardella-seraient-en-tete-au-premier-tour-mais-battus-par-philippe-au-second/,2025-04-23,2025-04-24,1005,,,,,,,,,,,,,,54,,,,,,46,,,
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,,,,,,,,,,,,,,50,,,,,,50,,,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,,,,,,,,,41.5,,,,,,,,,,,58.5,,,
Odoxa,https://www.odoxa.fr/sondage/jordan-bardella-est-la-personnalite-politique-preferee-des-francais-et-remporterait-la-presidentielle-si-elle-avait-lieu-dimanche-prochain/,2025-11-19,2025-11-20,1004,,,,,,,,,42,,,,,,,,,,,58.0,,,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,,,,,,,,,,,,,,,,,42,,,58.0,,,
Ifop,https://www.lopinion.fr/politique/bardella-le-pen-philippe-melenchon-glucksmann-a-moins-de-deux-ans-de-la-presidentielle-le-sondage-qui-relance-les-ambitions/,2025-04-11,2025-04-30,9128,,,,,,,,,,,,,,,,,47,,,53,,,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,,,,,,,,,,,,,,53,,,,,,,47,,
Ifop,https://www.lopinion.fr/politique/bardella-le-pen-philippe-melenchon-glucksmann-a-moins-de-deux-ans-de-la-presidentielle-le-sondage-qui-relance-les-ambitions/,2025-04-11,2025-04-30,1838,,,,,,,,,,,,,,52,,,,,,,48,,
Odoxa,https://www.odoxa.fr/sondage/presidentielle-le-pen-ou-bardella-seraient-en-tete-au-premier-tour-mais-battus-par-philippe-au-second/,2025-04-23,2025-04-24,1005,,,,,,,,,,,,,,54,,,,,,,46,,
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1090,,,,,,,,,,,,,,49,,,,,,,51,,
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/fevrier/9715-pdtielle-ifop-valeurs-actuelles-7-fevrier.pdf,2024-01-31,2024-02-01,1081,,,,,,,,,,,,,,50,,,,,,,50,,
Elabe,https://www.commission-des-sondages.fr/notices/files/notices/2026/mars/10166-pres-elabe-28-mars.pdf,2026-03-25,2026-03-27,1504,,,,,,,,,,,,49,,,,,,,,,51,,
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/avril/9766-pdt-ifop-le-figaro-magazine-26-04.pdf,2024-04-16,2024-04-18,1093,,,,,,,,,,,,47,,,,,,,,,53,,
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/fevrier/9715-pdtielle-ifop-valeurs-actuelles-7-fevrier.pdf,2024-01-31,2024-02-01,1081,,,,,,,,,,,,49,,,,,,,,,51,,
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2024/fevrier/9715-pdtielle-ifop-valeurs-actuelles-7-fevrier.pdf,2024-01-31,2024-02-01,1081,,,36,,,,,,,,,,,,,,,,,,64,,
