pollster,source_url,date_from,date_to,sample_size,ARTAUD,POUTOU,MELENCHON,ROUSSEL,RUFFIN,ROUSSEAU,TONDELIER,JADOT,GLUCKSMANN,HOLLANDE,FAURE,ATTAL,BAYROU,PHILIPPE,DARMANIN,LECORNU,RETAILLEAU,VILLEPIN,DUPONT_AIGNAN,BARDELLA,LE_PEN,KNAFO,ZEMMOUR
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,16,6,,,,5,,,,,,,,,,,2,,33,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,17,6,,,,6,,,,,,,,,,,2,,33,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,16,6,,,,6,,,,,8,,,,,,3,,33,,6
Harris Interactive,https://harris-interactive.fr/wp-content/uploads/sites/6/2023/09/Rapport-Toluna-Harris-IV-Presidentielle-2027-Challenges-septembre-2023.pdf,2023-09-01,2023-09-04,2525,1,2,17,6,,,,7.0,,,,,,,,,,,3,,33,,6
OpinionWay,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9689-pres-ow-le-figaro-magazine.pdf,2023-04-12,2023-04-13,965,1,3,17,,,2,,,,,6,,,32,,,,,,23,,,9
Harris Interactive,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9688-pres-hi-challenges.pdf,2023-04-06,2023-04-07,1320,1,2,16,4,,,,4,,,,,,24,,,,,2,,30,,7.0
Harris Interactive,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9688-pres-hi-challenges.pdf,2023-04-06,2023-04-07,1320,1,2,18,5,,,,5,,,,,,,,,,,2,,32,,7.0
Harris Interactive,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9688-pres-hi-challenges.pdf,2023-04-06,2023-04-07,1320,1,2,19,5,,,,5,,,,,,,10,,,,2,,33,,8
Harris Interactive,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9688-pres-hi-challenges.pdf,2023-04-06,2023-04-07,1320,1,2,17,4,,,,4,,,,,,24,,,,,2,,31,,7.0
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,1,2.5,17,5,,,1,,,,3,,,26,,,,,2.5,,29.0,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,1,2.5,22,,,,,,,,,,,28.0,,,,,3,,31,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,1,2.5,20,6,,,1,,,,2,,,,,,,,3,,32,,6
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,0.5,2.5,20,5,,,2,,,,3,,,,11,,,,4,,35,,7.0
Ifop,https://www.commission-des-sondages.fr/notices/files/notices/2023/avril/9686-pres-ifop-7-04-fig-mag-sud-radio.pdf,2023-03-30,2023-03-31,1105,1,1.5,20,6.5,,,1,,,,2,,9,,,,,,3,,36,,7.0
